"ประทับเวลา","Name_TH","Name_Eng","Kind","RATE","Review","Mood","DATE_TIME","Weather","Temperature"
"2565/04/27 9:58:28 หลังเที่ยง GMT+7","ลอดช่อง","Rice Noodle with coconut cream","7_Desert","10","ฝากญาติซื้อมาจากต่างจังหวัด ชื่อลอดช่องวัดเจษ อร่อยมากใส่น้ำแข็งหวานพอดีไม่เกินไป","10","2022-04-09 19:11","Cold =เย็น","31"
"2565/04/27 10:01:59 หลังเที่ยง GMT+7","ขนมจีนน้ำยา","Rice vermicelli with minced fish curry sauce","9_Carbohydrates","9","รสชาติดี ไม่เค็มไป เนื้อปลาเยอะมาก เข้มข้น แล้วก็มีรสชาติเผ็ดปานกลาง","10","2022-04-09 19:46","Cold =เย็น","31"
"2565/04/27 10:05:37 หลังเที่ยง GMT+7","ก๋วยเตี๋ยวหมู","pork Noodles","9_Carbohydrates","10","รสชาติอร่อยปกติตามก๋วยเตี๋ยวทุกอย่าง เครื่องเยอะมากทำให้อรอยกว่าปกติเนื่องจากทำเอง","8","2022-04-14 12:57","Sunny =แดดจัด","36"
"2565/04/27 10:08:41 หลังเที่ยง GMT+7","ไก่ย่าง","Grilled chicken","4_Meat and Poultry","10","ไก่แดง รสชาตินัวๆ หวาน เค็ม หอมๆ ได้กลินพริกไทยชัด","7","2022-04-14 13:24","Sunny =แดดจัด","35"
"2565/04/27 10:10:14 หลังเที่ยง GMT+7","เจลลี่เจเล่","Jele's Jelly","7_Desert","10","รสชาติเปรี้ยว หอม มีเยลลี่เป็นเม็ดๆเคี้ยวข้างในอีกที","10","2022-04-27 22:10","Cold =เย็น","32"
"2565/04/27 10:12:37 หลังเที่ยง GMT+7","ไข่ตุ๋น","Steamed egg","4_Meat and Poultry","9","ทำกินเอง รสชาติจืดไปหน่อยใส่ซอสน้อยไป มีหมูแต่ไม่ค่อยฉ่ำเท่าไหร่","10","2022-04-27 20:36","Cold =เย็น","32"
"2565/04/27 10:14:37 หลังเที่ยง GMT+7","ไข่ดาว","Fried egg","4_Meat and Poultry","9","รสชาติดี กินคู่กับซอสเห็ดหอม อร่อยมาก ไข่ฟองเล็กไปหน่อยคราวหลังคงต้องกิน 2 ฟอง","9","2022-04-27 13:32","Sweltering =ร้อนระอุ","37"
"2565/04/27 10:16:54 หลังเที่ยง GMT+7","บะหมี่กึ่งสำเร็จรูปรสคาโบน่าร่า","Cabonara flavored instant noodle","9_Carbohydrates","10","กินบ่อย หอมมากเหมือนไม่ใช่คาโบน่าร่าจริงๆแต่อร่อย เค็มๆ","10","2022-04-26 14:26","Sweltering =ร้อนระอุ","37"
"2565/04/27 10:19:12 หลังเที่ยง GMT+7","เป็ดย่าง","Grilled Duck","4_Meat and Poultry","9","เป็ด mk อร่อย","10","2022-04-16 16:30","Clear =แจ่มใส","33"
"2565/04/27 10:21:58 หลังเที่ยง GMT+7","ข้าวมันไก่","Chicken rice","9_Carbohydrates","8","ซื้อมานานแล้ว มีกลิ่นนิดหน่อย รสชาติปกติ น้ำจิ้มอร่อยแต่สีแปลกไปหนอ่ย","10","2022-04-15 10:44","Sunny =แดดจัด","35"
"2565/04/27 10:23:47 หลังเที่ยง GMT+7","ข้าวผัดกะเพรา","Stir fried with basil","9_Carbohydrates","10","อร่อย ไม่เผ็ดเกินไป รสชาติดี ติดหวานไปนิด","10","2022-04-18 14:21","Sunny =แดดจัด","35"
"2565/04/27 10:26:09 หลังเที่ยง GMT+7","ชามะนาว","Lemon Tea","8_Other","10","รสชาติเปรี้ยวหวาน","10","2022-04-27 18:54","Cold =เย็น","33"
"2565/04/27 10:27:56 หลังเที่ยง GMT+7","สามชั้นทอด","Fried pork belly","4_Meat and Poultry","8","กรอบ หอม อร่อย แต่ใส่เกลือมากไป เค็มไปหน่อย + มันมาก","10","2022-04-18 16:08","Sunny =แดดจัด","36"
"2565/04/27 10:29:16 หลังเที่ยง GMT+7","แกงเขียวหวาน","Green curry","4_Meat and Poultry","10","อร่อย รสชาติดี ไม่เค็มมาก กลมกล่อม","10","2022-04-14 10:43","Sunny =แดดจัด","36"
"2565/04/27 10:31:27 หลังเที่ยง GMT+7","เมล็ดธัญพิชอบกรอบ","Baked grains","3_Grains, Beans and Nuts","9","ซีเรียลนั่นแหละ กรอบ หอม หวาน มีรสน้ำผึ้ง ใส่นมอร่อย","9","2022-04-21 13:39","Sunny =แดดจัด","36"
"2565/04/27 10:32:38 หลังเที่ยง GMT+7","น้ำแอปเปิ้ล","Apple Juice","8_Other","7","รสไม่ค่อยเข้มข้น ค่อนไปทางจืด แต่กลิ่นหอม","9","2022-04-27 22:03","Cold =เย็น","32"
"2565/04/27 10:34:56 หลังเที่ยง GMT+7","KFC","KFC","4_Meat and Poultry","10","รสชาติดี หอม","10","2022-04-24 21:35","Cold =เย็น","34"
